NAME,PARTY,PC_NAME,AGE,PENDING_CRIMINAL_CASES,CONVICTED_CRIMINAL_CASES,MOVABLE_ASSETS,IMMOVABLE_ASSETS,LIABLITIES,EDUCATION,INCOME_TAX_COMPLIANCE,GOVERNMENT_DUES,LOCAL_RESIDENT,POINTS_FROM_AGE,POINTS_FROM_CRIMINAL_CASES,POINTS_FROM_EDUCATION,POINTS_FROM_INCOME_TAX_COMPLIANCE,POINTS_FROM_GOVT_DUE_COMPLIANCE,POINTS_FROM_LOCAL_RESIDENCY,POINTS_FROM_EARNINGS,POINTS_EARNED
JAJULA BHASKAR,Shramajeevi Party,7-Malkajgiri,44,0,0,211000,0,0,GRADUATE,NO,NO,YES,3.0,0.0,3.0,0.0,1.0,1.0,0.0,11.0
RAMCHANDER RAO N,Bharatiya Janata Party,7-Malkajgiri,59,1,0,6540000,19400000,6100000,POST GRADUATE,NO,NO,NO,2.0,-1.0,4.0,0.0,1.0,0.0,0.0,9.0
V.S.VINOD KUMAR,Independent,7-Malkajgiri,54,0,0,130000,4000000,1500000,9th Class,NO,NO,YES,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
ENDURAM TIRUPATHAIAH,Independent,7-Malkajgiri,46,0,0,0,0,0,9th Class,NO,NO,YES,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0
CHALIKA CHANDRA SEKHAR,Independent,7-Malkajgiri,38,0,0,145000,4000000,702000,GRADUATE,YES,NO,YES,4.0,0.0,3.0,1.0,1.0,1.0,1.0,14.0
M.D.MUSHEERUDDIN,Independent,7-Malkajgiri,47,0,0,250000,4000000,0,INTERMIDIATE,NO,NO,YES,3.0,0.0,2.0,0.0,1.0,1.0,1.0,10.0
DEVA (K.NAGADEVA),Independent,7-Malkajgiri,48,0,0,225000,141600,0,8th Class,NO,NO,YES,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0
BALAMANI BURU,India Praja Bandhu Party,7-Malkajgiri,32,0,0,160000,0,0,GRADUATE,NO,NO,YES,4.0,0.0,3.0,0.0,1.0,1.0,0.0,12.0
ANUMULA REVANTH REDDY,Indian National Congress,7-Malkajgiri,51,42,0,36500084,73344650,14453652,GRADUATE,YES,YES,NO,2.0,-42.0,3.0,1.0,0.0,0.0,1.0,-74.0
RAJENDER PONNALA,Independent,7-Malkajgiri,31,0,0,235000,850000,900000,GRADUATE,YES,NO,NO,4.0,0.0,3.0,1.0,1.0,0.0,0.0,12.0
RAJASHEKAR REDDY MARRI,Telangana Rashtra Samithi,7-Malkajgiri,50,0,0,79248313,224350495,75813928,INTERMIDIATE,NO,NO,YES,2.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0
THOPULA RAJESWARI,Independent,7-Malkajgiri,43,0,0,460000,0,0,GRADUATE,NO,NO,YES,3.0,0.0,3.0,0.0,1.0,1.0,0.0,11.0
SAI KIRAN GONE,Independent,7-Malkajgiri,26,0,0,212089,0,0,POST GRADUATE,NO,NO,YES,5.0,0.0,4.0,0.0,1.0,1.0,1.0,16.0
M.DASHARATH,Independent,7-Malkajgiri,46,0,0,60000,0,0,SSC,NO,NO,YES,3.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0
BONGUNOORI MAHENDER REDDY,Janasena Party,7-Malkajgiri,43,0,0,18848274,84129333,33609454,SSC,YES,NO,YES,3.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0
KONDAPARTHI PARVATHI DEVI,Pyramid Party of India,7-Malkajgiri,45,0,0,40000,0,0,SSC,NO,NO,YES,3.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0
GADDAM RAVINDER REDDY,Independent,7-Malkajgiri,58,0,0,50000,300000,0,SSC,YES,NO,NO,2.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0
AKULA RAMESH,Telangana Karmika Raithu Rajyam Party,7-Malkajgiri,35,0,0,228000,0,0,GRADUATE,NO,NO,YES,4.0,0.0,3.0,0.0,1.0,1.0,0.0,12.0
AMIT KUMAR SHARMA,Rashtravyapi Janta Party,7-Malkajgiri,33,0,0,300000,0,0,9th Class,NO,NO,NO,4.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
ASHOK KUMAR GOUD,Independent,7-Malkajgiri,35,0,0,2180000,14000000,13300000,DOCTORATE,YES,NO,YES,4.0,0.0,5.0,1.0,1.0,1.0,1.0,18.0
CHAMAKURA RAJU,Social Justice Party of India,7-Malkajgiri,43,1,0,115000,0,0,GRADUATE,YES,NO,YES,3.0,-1.0,3.0,1.0,1.0,1.0,0.0,10.0
CHUNDI. SHOBHAN BABU,Samajwadi Forward Bloc,7-Malkajgiri,45,0,0,105000,0,0,INTERMIDIATE,YES,NO,YES,3.0,0.0,2.0,1.0,1.0,1.0,0.0,10.0
DHARMASANAM BHANU MURTHY,Praja Satta Party,7-Malkajgiri,57,2,0,39000,0,50000,GRADUATE,YES,NO,YES,2.0,-2.0,3.0,1.0,1.0,1.0,0.0,7.0
DONTHULA BIKSHAPATHI,Independent,7-Malkajgiri,43,0,0,110000,8110000,0,GRADUATE,NO,NO,YES,3.0,0.0,3.0,0.0,1.0,1.0,1.0,12.0
GAGANAM.VENKATASWAMY,Independent,7-Malkajgiri,44,0,0,51000,0,0,INTERMIDIATE,NO,NO,YES,3.0,0.0,2.0,0.0,1.0,1.0,0.0,9.0
KAIRAMKONDA BIKSHAPATHY,Independent,7-Malkajgiri,45,0,0,1500000,22000000,145000,POST GRADUATE,NO,NO,YES,3.0,0.0,4.0,0.0,1.0,1.0,0.0,13.0
KING WILLIAM,All India Forward Bloc,7-Malkajgiri,42,0,0,3861000,0,200000,GRADUATE,YES,NO,YES,3.0,0.0,3.0,1.0,1.0,1.0,1.0,13.0
KIRAN BOLLAPALLI,Anti Corruption Dynamic Party,7-Malkajgiri,49,0,0,0,0,0,GRADUATE,NO,NO,YES,3.0,0.0,3.0,0.0,1.0,1.0,0.0,11.0
KURAKULA RENU KUMAR,Independent,7-Malkajgiri,43,0,0,740000,12000000,835000,GRADUATE,YES,NO,YES,3.0,0.0,3.0,1.0,1.0,1.0,0.0,12.0
NALLA SRIKANTH,Republican Party of India (A),7-Malkajgiri,40,0,0,3681500,0,1500000,9th Class,YES,NO,YES,3.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0
PAMBALLA SHIVARAJ,Independent,7-Malkajgiri,74,0,0,447500,7500000,0,SSC,YES,NO,YES,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0
R.ANIL KUMAR,Independent,7-Malkajgiri,29,0,0,83000,0,0,GRADUATE,NO,NO,YES,5.0,0.0,3.0,0.0,1.0,1.0,0.0,13.0
RAMESHBABU SHANIGARAPU,Independent,7-Malkajgiri,34,0,0,56000,0,0,POST GRADUATE,NO,NO,NO,4.0,0.0,4.0,0.0,1.0,0.0,0.0,13.0
RATHOD DILEEP KUMAR,Independent,7-Malkajgiri,32,0,0,332500,0,0,GRADUATE,NO,NO,YES,4.0,0.0,3.0,0.0,1.0,1.0,0.0,12.0
SANKU GANESH,Independent,7-Malkajgiri,44,0,0,16000,500000,0,INTERMIDIATE,NO,NO,YES,3.0,0.0,2.0,0.0,1.0,1.0,0.0,9.0
SRINIVAS,Independent,7-Malkajgiri,28,0,0,30000,1000000,0,POST GRADUATE,NO,NO,YES,5.0,0.0,4.0,0.0,1.0,1.0,0.0,15.0
VENU MADHAV,Independent,7-Malkajgiri,42,0,0,632000,4000000,2800000,GRADUATE,YES,NO,YES,3.0,0.0,3.0,1.0,1.0,1.0,0.0,12.0
VIJAY KUMAR GOUD MOUTHALA,Telugu Desam,7-Malkajgiri,26,0,0,1000000,280000,436142,INTERMIDIATE,NO,NO,YES,5.0,0.0,2.0,0.0,1.0,1.0,0.0,11.0
ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,9-Hyderabad,49,5,0,16749518,112500000,93000000,POST GRADUATE,YES,YES,NO,3.0,-5.0,4.0,1.0,0.0,0.0,0.0,2.0
B.G.VENKAT RAMESH NAIDU,Independent,9-Hyderabad,59,0,0,146000,2400000,0,9th Class,YES,NO,YES,2.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0
DORNALA JAYA PRAKASH,New India Party,9-Hyderabad,36,2,0,337218,900000,100000,GRADUATE,YES,YES,YES,4.0,-2.0,3.0,1.0,0.0,1.0,0.0,8.0
PUSTHE SRIKANTH,Telangana Rashtra Samithi,9-Hyderabad,46,0,0,100000,26800000,3300000,POST GRADUATE,YES,NO,YES,3.0,0.0,4.0,1.0,1.0,1.0,0.0,14.0
DAVID PEYYALA,Independent,9-Hyderabad,53,0,0,270000,0,0,POST GRADUATE,NO,NO,YES,2.0,0.0,4.0,0.0,1.0,1.0,0.0,12.0
SYED NOORULLAH QUADRI,Independent,9-Hyderabad,33,0,0,40000,0,0,9th Class,YES,NO,YES,4.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0
Dr.HINGOLIKAR SUSHEEL RAJ,Independent,9-Hyderabad,34,0,0,0,0,0,SSC,YES,NO,YES,4.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
K.NAGARAJ,Independent,9-Hyderabad,45,0,0,43000,0,0,9th Class,NO,NO,YES,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0
MOHAMMED FEROZ KHAN,Indian National Congress,9-Hyderabad,46,0,0,2500000,4000000,0,INTERMIDIATE,YES,NO,YES,3.0,0.0,2.0,1.0,1.0,1.0,1.0,11.0
V.BAL KRISHNA,Independent,9-Hyderabad,37,0,0,160000,0,0,GRADUATE,NO,NO,YES,4.0,0.0,3.0,0.0,1.0,1.0,0.0,12.0
BHAGAVANTH RAO PAWAR,Bharatiya Janata Party,9-Hyderabad,67,3,0,517708,8109285,4839,POST GRADUATE,YES,NO,YES,1.0,-3.0,4.0,1.0,1.0,1.0,0.0,6.0
KA MAHESHWAR,Independent,9-Hyderabad,45,1,0,45000,264000,200000,SSC,NO,NO,YES,3.0,-1.0,1.0,0.0,1.0,1.0,0.0,5.0
MOHAMMED ABDUL AZEEM,Independent,9-Hyderabad,44,0,0,0,0,0,SSC,NO,NO,YES,3.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0
MOHD AHMED,Independent,9-Hyderabad,34,0,0,150000,0,0,SSC,NO,NO,YES,4.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0
MATANGI RAMESH KUMAR,Independent,9-Hyderabad,37,0,0,277350,0,0,SSC,NO,NO,YES,4.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0
MOHAMMED ABDUL QAVI ABBASI,Telangana Jana Samithi,9-Hyderabad,48,0,0,160000,0,0,POST GRADUATE,NO,NO,YES,3.0,0.0,4.0,0.0,1.0,1.0,0.0,13.0
L.ASHOK NATH,Independent,9-Hyderabad,49,0,0,27000,0,0,INTERMIDIATE,NO,NO,YES,3.0,0.0,2.0,0.0,1.0,1.0,0.0,9.0
SATISH AGARWAL,Bharatiya Janata Party,9-Hyderabad,49,0,0,432500,46000000,6000000,GRADUATE,YES,NO,NO,3.0,0.0,3.0,1.0,1.0,0.0,0.0,11.0
K RANGACHARYA,Samajwadi Forward Bloc,9-Hyderabad,49,0,0,0,0,0,SSC,NO,NO,YES,3.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0
CHANDRA SHEKAR RAO GAJULA,Bahujan Samaj Party,9-Hyderabad,38,0,0,168000,0,0,POST GRADUATE,NO,NO,YES,4.0,0.0,4.0,0.0,1.0,1.0,0.0,14.0
NARESH CHANDRA ACHARYA N.B,Independent,9-Hyderabad,39,0,0,110337,0,0,GRADUATE,NO,NO,YES,4.0,0.0,3.0,0.0,1.0,1.0,0.0,12.0
SANJAY KUMAR SHUKLA,Independent,9-Hyderabad,39,0,0,493000,21810000,0,7th Class,YES,NO,YES,4.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0
SHAIK MOIN,Independent,9-Hyderabad,50,0,0,0,0,0,7th Class,NO,NO,YES,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
K VENKATANARAYANA,Independent,8-Secundrabad,31,0,0,14000,0,0,GRADUATE,NO,NO,YES,4.0,0.0,3.0,0.0,1.0,1.0,0.0,12.0
ANJAN KUMAR YADAV,Indian National Congress,8-Secundrabad,58,0,0,2626000,3700000,2400000,GRADUATE,YES,NO,YES,2.0,0.0,3.0,1.0,1.0,1.0,0.0,11.0
SHAIK MUNEER PASHA,Independent,8-Secundrabad,39,0,0,52000,0,0,GRADUATE,NO,NO,YES,4.0,0.0,3.0,0.0,1.0,1.0,0.0,12.0
GANGAPURAM KISHAN REDDY,Bharatiya Janata Party,8-Secundrabad,58,0,0,6891193,17850000,0,INTERMIDIATE,YES,NO,YES,2.0,0.0,2.0,1.0,1.0,1.0,0.0,9.0
MEESALA GOPAL SAI BABA,Independent,8-Secundrabad,49,0,0,682000,5900000,0,GRADUATE,YES,NO,YES,3.0,0.0,3.0,1.0,1.0,1.0,1.0,13.0
PULIMAMIDI VENKATESH GUPTA,Independent,8-Secundrabad,45,0,0,250000,0,0,9th Class,NO,NO,YES,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0
MALLESH JATAVATH,SOCIALIST UNITY CENTRE OF INDIA,8-Secundrabad,26,0,0,0,0,0,GRADUATE,NO,NO,YES,5.0,0.0,3.0,0.0,1.0,1.0,0.0,13.0
PONNAPATI CHINNA LINGANNA,Independent,8-Secundrabad,50,0,0,0,0,0,9th Class,NO,NO,YES,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
DORNALA JAYA PRAKASH,New India Party,8-Secundrabad,36,2,0,337218,900000,0,GRADUATE,YES,YES,NO,4.0,-2.0,3.0,1.0,0.0,0.0,0.0,7.0
TALASANI SAI KIRAN,Telangana Rashtra Samithi,8-Secundrabad,32,6,0,70753289,124380000,68489543,POST GRADUATE,YES,NO,YES,4.0,-6.0,4.0,1.0,1.0,1.0,0.0,3.0
RANAVENI LAXMAN,Independent,8-Secundrabad,48,0,0,70000,1600000,30000,9th Class,NO,NO,NO,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
BATHULA RAVI,Independent,8-Secundrabad,48,0,0,0,0,0,INTERMIDIATE,YES,NO,YES,3.0,0.0,2.0,1.0,1.0,1.0,0.0,10.0
PAMU ARUNA KUMARI,Republican Party of India,8-Secundrabad,52,0,0,300000,670000,0,9th Class,NO,NO,NO,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
SHAKTI SATYAVATHI,Pyramid Party of India,8-Secundrabad,55,0,0,65000,0,0,SSC,NO,NO,YES,2.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0
Mohd Nazeer Uddin Quadri,Akhil Bharatiya Muslim League,8-Secundrabad,43,0,0,575000,3000000,0,SSC,NO,NO,YES,3.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0
RAVI KUMAR VODELA,Independent,8-Secundrabad,36,0,0,211000,0,0,POST GRADUATE,YES,NO,YES,4.0,0.0,4.0,1.0,1.0,1.0,0.0,15.0
CHITTURI PHANI SHANKER,Independent,8-Secundrabad,29,0,0,100000,0,0,GRADUATE,NO,NO,YES,5.0,0.0,3.0,0.0,1.0,1.0,0.0,13.0
KOLLI NAGESHWAR RAO,Independent,8-Secundrabad,41,0,0,0,0,30000,GRADUATE,NO,NO,YES,3.0,0.0,3.0,0.0,1.0,1.0,0.0,11.0
NEMURI SHANKAR GOUD,Janasena Party,8-Secundrabad,46,0,0,2133000,17000000,1800000,9th Class,YES,NO,YES,3.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0
G.LAXMINARSIMHA RAO,Telangana Prajala Party,8-Secundrabad,51,1,0,590000,7036000,2000000,POST GRADUATE,YES,NO,YES,2.0,-1.0,4.0,1.0,1.0,1.0,0.0,11.0
ABDALLAH IBRAHIM,Independent,8-Secundrabad,53,0,0,8260822,750000,0,SSC,YES,NO,YES,2.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0
MAMBA ASHOK KUMAR,Samajwadi Forward Bloc,8-Secundrabad,37,0,0,192000,0,0,POST GRADUATE,NO,NO,YES,4.0,0.0,4.0,0.0,1.0,1.0,0.0,14.0
